,precision,recall,f1-score,accuracy,support
apple,0.83,0.88,0.85,0.88,33.0
empty,0.93,1.0,0.96,1.0,39.0
moustache,0.63,0.85,0.73,0.85,47.0
mouth,0.71,0.8,0.75,0.8,50.0
mug,0.93,0.88,0.9,0.88,43.0
nail,0.64,0.61,0.62,0.61,41.0
nose,0.6,0.75,0.67,0.75,12.0
octagon,0.98,0.84,0.9,0.84,50.0
paintbrush,0.71,0.53,0.61,0.53,32.0
panda,0.8,0.62,0.7,0.62,26.0
parrot,0.45,0.53,0.49,0.53,17.0
peanut,0.8,0.47,0.59,0.47,17.0
pear,0.64,0.64,0.64,0.64,14.0
pencil,0.62,0.67,0.64,0.67,27.0
penguin,0.81,0.81,0.81,0.81,43.0
pillow,0.73,0.84,0.78,0.84,19.0
pineapple,0.79,0.92,0.85,0.92,49.0
pool,0.66,0.67,0.67,0.67,55.0
rabbit,0.66,0.59,0.62,0.59,39.0
rhinoceros,0.83,0.48,0.61,0.48,21.0
rifle,0.73,0.8,0.76,0.8,44.0
rollerskates,0.75,0.86,0.8,0.86,21.0
sailboat,0.79,0.91,0.85,0.91,34.0
scorpion,0.6,0.79,0.68,0.79,42.0
screwdriver,0.73,0.48,0.58,0.48,23.0
shovel,0.69,0.69,0.69,0.69,29.0
sink,0.81,0.68,0.74,0.68,25.0
skateboard,0.83,0.86,0.84,0.86,50.0
skull,0.89,0.96,0.92,0.96,25.0
spoon,0.44,0.31,0.36,0.31,13.0
squiggle,0.6,0.15,0.24,0.15,20.0
average,0.73,0.71,0.7,0.71,32.26
weighted average,0.75,0.74,0.74,0.74,32.26
